model,project,bug_id,status,log
DeepSeek,Lang,1,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/DeepSeek/Lang/Lang-1-buggy.log
DeepSeek,Lang,3,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/DeepSeek/Lang/Lang-3-buggy.log
DeepSeek,Lang,4,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/DeepSeek/Lang/Lang-4-buggy.log
DeepSeek,Lang,5,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/DeepSeek/Lang/Lang-5-buggy.log
DeepSeek,Lang,6,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/DeepSeek/Lang/Lang-6-buggy.log
DeepSeek,Lang,7,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/DeepSeek/Lang/Lang-7-buggy.log
DeepSeek,Lang,8,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/DeepSeek/Lang/Lang-8-buggy.log
DeepSeek,Lang,9,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/DeepSeek/Lang/Lang-9-buggy.log
DeepSeek,Lang,10,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/DeepSeek/Lang/Lang-10-buggy.log
DeepSeek,Lang,11,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/DeepSeek/Lang/Lang-11-buggy.log
DeepSeek,Lang,12,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/DeepSeek/Lang/Lang-12-buggy.log
DeepSeek,Lang,13,not compilable,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/DeepSeek/Lang/Lang-13-buggy.log
DeepSeek,Lang,14,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/DeepSeek/Lang/Lang-14-buggy.log
DeepSeek,Lang,15,not compilable,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/DeepSeek/Lang/Lang-15-buggy.log
