model,project,bug_id,variant,status,trigger_appear,n_trigger_total,n_trigger_appear,n_trigger_pred_success,matched_triggers,pred_success_triggers
GPT5,Cli,1,1,pass,yes,1,1,1,org.apache.commons.cli.bug.BugCLI13Test::testCLI13,org.apache.commons.cli.bug.BugCLI13Test::testCLI13
GPT5,Cli,2,2,pass,yes,1,1,1,org.apache.commons.cli.bug.BugCLI51Test::test,org.apache.commons.cli.bug.BugCLI51Test::test
GPT5,Cli,3,3,not pass,yes,1,1,1,org.apache.commons.cli.PatternOptionBuilderTest::testSimplePattern,org.apache.commons.cli.PatternOptionBuilderTest::testSimplePattern
GPT5,Cli,4,4,pass,yes,2,2,2,org.apache.commons.cli.OptionsTest::testMissingOptionException; org.apache.commons.cli.OptionsTest::testMissingOptionsException,org.apache.commons.cli.OptionsTest::testMissingOptionException; org.apache.commons.cli.OptionsTest::testMissingOptionsException
GPT5,Cli,5,5,pass,yes,2,2,1,org.apache.commons.cli.UtilTest::testStripLeadingHyphens; org.apache.commons.cli.bug.BugCLI133Test::testOrder,org.apache.commons.cli.UtilTest::testStripLeadingHyphens
GPT5,Cli,8,8,not pass,yes,1,1,1,org.apache.commons.cli.HelpFormatterTest::testPrintWrapped,org.apache.commons.cli.HelpFormatterTest::testPrintWrapped
GPT5,Cli,9,9,pass,yes,2,2,2,org.apache.commons.cli.OptionsTest::testMissingOptionsException; org.apache.commons.cli.ParseRequiredTest::testMissingRequiredOptions,org.apache.commons.cli.OptionsTest::testMissingOptionsException; org.apache.commons.cli.ParseRequiredTest::testMissingRequiredOptions
GPT5,Cli,10,10,pass,yes,1,1,1,org.apache.commons.cli.ParseRequiredTest::testReuseOptionsTwice,org.apache.commons.cli.ParseRequiredTest::testReuseOptionsTwice
GPT5,Cli,11,11,pass,yes,1,1,1,org.apache.commons.cli.HelpFormatterTest::testPrintOptionWithEmptyArgNameUsage,org.apache.commons.cli.HelpFormatterTest::testPrintOptionWithEmptyArgNameUsage
GPT5,Cli,12,12,pass,yes,3,3,3,org.apache.commons.cli.GnuParserTest::testLongWithEqual; org.apache.commons.cli.GnuParserTest::testLongWithEqualSingleDash; org.apache.commons.cli.GnuParserTest::testShortWithEqual,org.apache.commons.cli.GnuParserTest::testLongWithEqual; org.apache.commons.cli.GnuParserTest::testLongWithEqualSingleDash; org.apache.commons.cli.GnuParserTest::testShortWithEqual
GPT5,Cli,13,13,not pass,yes,1,1,0,org.apache.commons.cli2.bug.BugLoopingOptionLookAlikeTest::testLoopingOptionLookAlike2,
GPT5,Cli,14,14,pass,yes,1,1,0,org.apache.commons.cli2.bug.BugCLI144Test::testFileValidator,
