model,project,bug_id,variant,status,trigger_appear,n_trigger_total,n_trigger_appear,n_trigger_pred_success,matched_triggers,pred_success_triggers
GPT5,Jsoup,1,1,pass,yes,1,1,1,org.jsoup.parser.ParserTest::createsStructureFromBodySnippet,org.jsoup.parser.ParserTest::createsStructureFromBodySnippet
GPT5,Jsoup,2,2,pass,yes,1,1,1,org.jsoup.parser.ParserTest::handlesTextAfterData,org.jsoup.parser.ParserTest::handlesTextAfterData
GPT5,Jsoup,3,3,not compilable,yes,3,3,0,org.jsoup.nodes.ElementTest::testAppendRowToTable; org.jsoup.nodes.ElementTest::testPrependRowToTable; org.jsoup.parser.ParserTest::handlesNestedImplicitTable,
GPT5,Jsoup,4,4,not pass,yes,2,2,0,org.jsoup.nodes.EntitiesTest::caseSensitive; org.jsoup.nodes.EntitiesTest::escape,
GPT5,Jsoup,5,5,not pass,yes,1,1,0,org.jsoup.parser.ParserTest::parsesQuiteRoughAttributes,
GPT5,Jsoup,6,6,pass,yes,2,2,1,org.jsoup.integration.ParseTest::testYahooArticle; org.jsoup.nodes.EntitiesTest::quoteReplacements,org.jsoup.nodes.EntitiesTest::quoteReplacements
GPT5,Jsoup,7,7,not compilable,yes,1,1,1,org.jsoup.nodes.DocumentTest::testNormalisesStructure,org.jsoup.nodes.DocumentTest::testNormalisesStructure
GPT5,Jsoup,8,8,pass,yes,1,1,1,org.jsoup.nodes.ElementTest::parentlessToString,org.jsoup.nodes.ElementTest::parentlessToString
GPT5,Jsoup,10,10,not pass,yes,1,1,0,org.jsoup.nodes.NodeTest::absHandlesRelativeQuery,
GPT5,Jsoup,11,11,not pass,yes,4,4,0,org.jsoup.select.SelectorTest::notAll; org.jsoup.select.SelectorTest::notClass; org.jsoup.select.SelectorTest::notParas; org.jsoup.select.SelectorTest::testPseudoHas,
GPT5,Jsoup,12,12,not pass,yes,1,1,0,org.jsoup.select.SelectorTest::testByAttributeRegexCombined,
GPT5,Jsoup,13,13,pass,yes,4,4,3,org.jsoup.nodes.NodeTest::handlesAbsPrefix; org.jsoup.nodes.NodeTest::handlesAbsPrefixOnHasAttr; org.jsoup.select.ElementsTest::absAttr; org.jsoup.select.ElementsTest::hasAbsAttr,org.jsoup.nodes.NodeTest::handlesAbsPrefix; org.jsoup.nodes.NodeTest::handlesAbsPrefixOnHasAttr; org.jsoup.select.ElementsTest::hasAbsAttr
GPT5,Jsoup,14,14,not pass,yes,2,2,0,org.jsoup.parser.ParserTest::handlesUnclosedTitle; org.jsoup.parser.ParserTest::parsesUnterminatedTextarea,
