model,project,bug_id,status,log
GPT5,Lang,1,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Lang/Lang-1-buggy.log
GPT5,Lang,3,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Lang/Lang-3-buggy.log
GPT5,Lang,4,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Lang/Lang-4-buggy.log
GPT5,Lang,5,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Lang/Lang-5-buggy.log
GPT5,Lang,6,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Lang/Lang-6-buggy.log
GPT5,Lang,7,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Lang/Lang-7-buggy.log
GPT5,Lang,8,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Lang/Lang-8-buggy.log
GPT5,Lang,9,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Lang/Lang-9-buggy.log
GPT5,Lang,10,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Lang/Lang-10-buggy.log
GPT5,Lang,11,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Lang/Lang-11-buggy.log
GPT5,Lang,12,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Lang/Lang-12-buggy.log
GPT5,Lang,13,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Lang/Lang-13-buggy.log
GPT5,Lang,14,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Lang/Lang-14-buggy.log
GPT5,Lang,15,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Lang/Lang-15-buggy.log
GPT5,Lang,16,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Lang/Lang-16-buggy.log
GPT5,Lang,17,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Lang/Lang-17-buggy.log
GPT5,Lang,19,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Lang/Lang-19-buggy.log
GPT5,Lang,20,pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Lang/Lang-20-buggy.log
GPT5,Lang,21,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Lang/Lang-21-buggy.log
