model,project,bug_id,status,log
GPT5,Jsoup,1,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Jsoup/Jsoup-1-buggy.log
GPT5,Jsoup,2,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Jsoup/Jsoup-2-buggy.log
GPT5,Jsoup,3,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Jsoup/Jsoup-3-buggy.log
GPT5,Jsoup,4,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Jsoup/Jsoup-4-buggy.log
GPT5,Jsoup,5,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Jsoup/Jsoup-5-buggy.log
GPT5,Jsoup,6,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Jsoup/Jsoup-6-buggy.log
GPT5,Jsoup,7,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Jsoup/Jsoup-7-buggy.log
GPT5,Jsoup,8,not compilable,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Jsoup/Jsoup-8-buggy.log
GPT5,Jsoup,10,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Jsoup/Jsoup-10-buggy.log
GPT5,Jsoup,11,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Jsoup/Jsoup-11-buggy.log
GPT5,Jsoup,12,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Jsoup/Jsoup-12-buggy.log
GPT5,Jsoup,13,not compilable,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Jsoup/Jsoup-13-buggy.log
GPT5,Jsoup,14,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Jsoup/Jsoup-14-buggy.log
GPT5,Jsoup,15,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Jsoup/Jsoup-15-buggy.log
GPT5,Jsoup,16,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Jsoup/Jsoup-16-buggy.log
GPT5,Jsoup,18,not pass,/Users/grace/Documents/Paper/BugFixing/Interpretation/test-logs/baseline/GPT5/Jsoup/Jsoup-18-buggy.log
