project,bug_id,folder,add_test_file,class_fqcn,method_name,repair_result,buggy_result,fixed_result,groundtruth_result,buggy_inst_delta,buggy_inst_score,fixed_inst_delta,fixed_inst_score,buggy_branch_delta,buggy_branch_score,fixed_branch_delta,fixed_branch_score,buggy_base_ci,buggy_base_mi,buggy_base_cb,buggy_base_mb,buggy_add_ci,buggy_add_mi,buggy_add_cb,buggy_add_mb,fixed_base_ci,fixed_base_mi,fixed_base_cb,fixed_base_mb,fixed_add_ci,fixed_add_mi,fixed_add_cb,fixed_add_mb
Lang,1,Lang-1-buggy,add_test.java,org.apache.commons.lang3.math.NumberUtilsTest,TestLang747,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Lang,3,Lang-3-buggy,add_test.java,org.apache.commons.lang3.math.NumberUtilsTest,testStringCreateNumberEnsureNoPrecisionLossWithDoubleSuffixSmall,Not Pass,Not Pass,Pass,Pass,71,0.2863,66,0.2672,12,0.1739,11,0.1594,158,248,19,69,229,177,31,57,158,247,19,69,224,181,30,58
Lang,4,Lang-4-buggy,add_test.java,org.apache.commons.lang3.text.translate.LookupTranslatorTest,testLang882,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,96,11,9,5,96,11,9,5,117,10,12,10,117,10,12,10
Lang,5,Lang-5-buggy,add_test.java,org.apache.commons.lang3.LocaleUtilsTest,testLang865,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,31,160,3,23,31,160,3,23,109,198,15,27,109,198,15,27
Lang,6,Lang-6-buggy,add_test.java,org.apache.commons.lang3.StringUtilsTest,testEscapeUnpairedHighSurrogate,Not Pass,Pass,Pass,Pass,2,0.0909,2,0.0417,2,0.4000,2,0.1818,34,22,5,5,36,20,7,3,34,48,5,11,36,46,7,9
Lang,6,Lang-6-buggy,add_test1.java,org.apache.commons.lang3.StringUtilsTest,testEscapeUnpairedLowSurrogate,Not Pass,Pass,Pass,Pass,2,0.0909,2,0.0417,2,0.4000,2,0.1818,34,22,5,5,36,20,7,3,34,48,5,11,36,46,7,9
Lang,7,Lang-7-buggy,Not Generated,Not Generated,Not Generated,Pass,Not Generated,Not Generated,,,,309,1.0000,,,64,1.0000,,,,,299,83,64,32,0,0,0,0,309,83,64,32
Lang,8,Lang-8-buggy,Not Generated,Not Generated,Not Generated,Not Pass,Not Generated,Not Generated,,,,46,1.0000,,,1,1.0000,,,,,46,12,2,2,0,0,0,0,46,2,1,1
Lang,9,Lang-9-buggy,add_test.java,org.apache.commons.lang3.time.FastDateParserTest,testLANG_832,Not Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,99,9,5,3,99,9,5,3,109,9,7,3,109,9,7,3
Lang,10,Lang-10-buggy,add_test.java,org.apache.commons.lang3.time.FastDateParserTest,testLANG_831,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,36,18,6,7,36,18,6,7,36,18,6,7,36,18,6,7
Lang,11,Lang-11-buggy,add_test.java,org.apache.commons.lang3.RandomStringUtilsTest,testLANG807,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,20,143,6,44,20,143,6,44,29,161,5,49,29,161,5,49
Lang,12,Lang-12-buggy,add_test.java,org.apache.commons.lang3.RandomStringUtilsTest,testLANG805,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Lang,13,Lang-13-buggy,Not Generated,Not Generated,Not Generated,Pass,Not Generated,Not Generated,,,,16,1.0000,,,0,0.0000,,,,,11,27,0,2,0,0,0,0,16,27,0,2
Lang,14,Lang-14-buggy,add_test.java,org.apache.commons.lang3.StringUtilsEqualsIndexOfTest,testEqualsAdditional,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,13,2,4,2,13,2,4,2,44,4,14,2,44,4,14,2
Lang,15,Lang-15-buggy,add_test.java,org.apache.commons.lang3.reflect.TypeUtilsTest,testGetTypeArguments,Not Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,107,16,24,8,107,16,24,8,107,12,25,5,107,12,25,5
Lang,16,Lang-16-buggy,Not Generated,Not Generated,Not Generated,Pass,Not Generated,Not Generated,,,,277,1.0000,,,60,1.0000,,,,,196,145,38,46,0,0,0,0,277,69,60,28
Lang,17,Lang-17-buggy,add_test.java,org.apache.commons.lang3.StringEscapeUtilsTest,testSupplementaryPairsUnchanged,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,35,28,5,7,35,28,5,7,38,23,5,7,38,23,5,7
Lang,19,Lang-19-buggy,add_test.java,org.apache.commons.lang3.text.translate.NumericEntityUnescaperTest,testUnfinishedDecimalEntity,Pass,Not Pass,Pass,Pass,45,0.5422,35,0.8140,6,0.5455,12,0.6316,47,83,7,11,92,38,13,5,120,43,25,19,155,8,37,7
Lang,19,Lang-19-buggy,add_test1.java,org.apache.commons.lang3.text.translate.NumericEntityUnescaperTest,testSupplementaryEntity,Pass,Pass,Pass,Pass,45,0.5422,35,0.8140,6,0.5455,12,0.6316,47,83,7,11,92,38,13,5,120,43,25,19,155,8,37,7
Lang,20,Lang-20-buggy,add_test.java,org.apache.commons.lang3.StringUtilsTest,testJoin_ArrayChar,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Lang,20,Lang-20-buggy,add_test1.java,org.apache.commons.lang3.StringUtilsTest,testJoin_Objectarray,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Lang,21,Lang-21-buggy,add_test.java,org.apache.commons.lang3.time.DateUtilsTest,testIsSameLocalTime_Cal,Not Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Lang,22,Lang-22-buggy,Not Generated,Not Generated,Not Generated,Pass,Not Generated,Not Generated,,,,94,1.0000,,,23,1.0000,,,,,90,5,21,3,0,0,0,0,94,11,23,5
Lang,23,Lang-23-buggy,Not Generated,Not Generated,Not Generated,Not Pass,Not Generated,Not Generated,,,,,,,,,,,,,,,,,,,,,,,,,
Lang,24,Lang-24-buggy,add_test.java,org.apache.commons.lang3.math.NumberUtilsTest,testIsNumber,Not Pass,Not Pass,Not Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,256,21,76,20,256,21,76,20,263,21,79,21,263,21,79,21
Lang,26,Lang-26-buggy,add_test.java,org.apache.commons.lang3.time.FastDateFormatTest,testLang645,Not Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,19,0,0,0,19,0,0,0,21,0,0,0,21,0,0,0
Lang,27,Lang-27-buggy,add_test.java,org.apache.commons.lang3.math.NumberUtilsTest,testCreateNumber,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Lang,28,Lang-28-buggy,add_test.java,org.apache.commons.lang3.text.translate.NumericEntityUnescaperTest,testIncompleteEntityNoCrash,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Lang,29,Lang-29-buggy,add_test.java,org.apache.commons.lang3.SystemUtilsTest,testJavaVersionAsInt,Not Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,6,0,0,0,6,0,0,0,5,0,0,0,5,0,0,0
Lang,30,Lang-30-buggy,Not Generated,Not Generated,Not Generated,Not Pass,Not Generated,Not Generated,,,,255,1.0000,,,51,1.0000,,,,,191,44,35,25,0,0,0,0,255,44,51,29
Lang,31,Lang-31-buggy,add_test.java,org.apache.commons.lang3.StringUtilsEqualsIndexOfTest,testContainsAnyCharArrayWithSupplementaryChars,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Lang,31,Lang-31-buggy,add_test1.java,org.apache.commons.lang3.StringUtilsEqualsIndexOfTest,testContainsAnyStringWithSupplementaryChars,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Lang,32,Lang-32-buggy,add_test.java,org.apache.commons.lang3.builder.HashCodeBuilderTest,testInitialRegistryIsNull,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,27,0,0,0,27,0,0,0,53,0,9,1,53,0,9,1
Lang,33,Lang-33-buggy,Not Generated,Not Generated,Not Generated,Pass,Not Generated,Not Generated,,,,36,1.0000,,,8,1.0000,,,,,30,0,6,0,0,0,0,0,36,0,8,0
Lang,34,Lang-34-buggy,Not Generated,Not Generated,Not Generated,Pass,Not Generated,Not Generated,,,,16,1.0000,,,3,1.0000,,,,,15,0,2,0,0,0,0,0,16,0,3,1
Lang,35,Lang-35-buggy,add_test.java,org.apache.commons.lang3.ArrayUtilsAddTest,testAddWithNonNullArray,Pass,Pass,Pass,Pass,4,0.1026,19,0.4634,1,0.1667,1,0.2500,20,39,2,6,24,35,3,5,20,41,4,4,39,22,5,3
Lang,36,Lang-36-buggy,Not Generated,Not Generated,Not Generated,Pass,Not Generated,Not Generated,,,,573,1.0000,,,134,1.0000,,,,,533,49,125,43,0,0,0,0,573,78,134,58
Lang,37,Lang-37-buggy,Not Generated,Not Generated,Not Generated,Pass,Not Generated,Not Generated,,,,58,1.0000,,,4,1.0000,,,,,34,6,2,2,0,0,0,0,58,6,4,2
Lang,38,Lang-38-buggy,add_test.java,org.apache.commons.lang3.time.FastDateFormatTest,testLang538,Pass,Not Pass,Pass,Pass,0,0.0000,0,0.0000,0,0.0000,0,0.0000,16,0,1,1,16,0,1,1,19,0,1,1,19,0,1,1
Lang,39,Lang-39-buggy,add_test.java,org.apache.commons.lang3.StringUtilsTest,testReplace_StringStringArrayStringArray,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
Lang,40,Lang-40-buggy,Not Generated,Not Generated,Not Generated,Pass,Not Generated,Not Generated,,,,29,1.0000,,,5,1.0000,,,,,10,2,2,2,0,0,0,0,29,4,5,3
Lang,41,Lang-41-buggy,add_test.java,org.apache.commons.lang.ClassUtilsTest,test_getPackageName_Class,Pass,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable,,,,,Not Compilable,Not Compilable,Not Compilable,Not Compilable
