project,bug_id,folder,class_entry,file,method_sig_snippet,fixed_method_start_line,fixed_method_end_line
Mockito,1,Mockito-1-buggy,org.mockito.internal.invocation.InvocationMatcher,org/mockito/internal/invocation/InvocationMatcher.java,public void captureArgumentsFrom(Invocation invocation) {,120,150
Mockito,10,Mockito-10-buggy,org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs,org/mockito/internal/stubbing/defaultanswers/ReturnsDeepStubs.java,"private Object deepStub(InvocationOnMock invocation, GenericMetadataSupport returnTypeGenericMetadata) throws Throwable {",58,74
Mockito,10,Mockito-10-buggy,org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs,org/mockito/internal/stubbing/defaultanswers/ReturnsDeepStubs.java,private Object newDeepStubMock(GenericMetadataSupport returnTypeGenericMetadata) {,87,92
Mockito,10,Mockito-10-buggy,org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs,org/mockito/internal/stubbing/defaultanswers/ReturnsDeepStubs.java,private MockSettings withSettingsUsing(GenericMetadataSupport returnTypeGenericMetadata) {,94,101
Mockito,11,Mockito-11-buggy,org.mockito.internal.creation.DelegatingMethod,org/mockito/internal/creation/DelegatingMethod.java,public boolean equals(Object o) {,54,63
Mockito,11,Mockito-11-buggy,org.mockito.internal.creation.DelegatingMethod,org/mockito/internal/creation/DelegatingMethod.java,public int hashCode() {,66,68
Mockito,12,Mockito-12-buggy,org.mockito.internal.util.reflection.GenericMaster,org/mockito/internal/util/reflection/GenericMaster.java,public Class getGenericType(Field field) {,16,65
Mockito,13,Mockito-13-buggy,org.mockito.internal.MockHandler,org/mockito/internal/MockHandler.java,public Object handle(Invocation invocation) throws Throwable {,58,111
Mockito,14,Mockito-14-buggy,org.mockito.internal.MockHandler,org/mockito/internal/MockHandler.java,public Object handle(Invocation invocation) throws Throwable {,57,118
Mockito,14,Mockito-14-buggy,org.mockito.internal.MockitoCore,org/mockito/internal/MockitoCore.java,"public <T> T verify(T mock, VerificationMode mode) {",67,99
Mockito,15,Mockito-15-buggy,org.mockito.internal.configuration.injection.FinalMockCandidateFilter,org/mockito/internal/configuration/injection/FinalMockCandidateFilter.java,"public OngoingInjecter filterCandidate(final Collection<Object> mocks, final Field field, final Object fieldInstance) {",18,55
Mockito,16,Mockito-16-buggy,org.mockito.internal.MockitoCore,org/mockito/internal/MockitoCore.java,"public <T> T mock(Class<T> classToMock, MockSettings mockSettings, boolean shouldResetOngoingStubbing) { return mock(classToMock, mockSettings); }",32,38
Mockito,16,Mockito-16-buggy,org.mockito.internal.MockitoCore,org/mockito/internal/MockitoCore.java,"public <T> T mock(Class<T> classToMock, MockSettings mockSettings) {",39,41
Mockito,16,Mockito-16-buggy,org.mockito.Mockito,org/mockito/Mockito.java,"public static <T> T mock(Class<T> classToMock, MockSettings mockSettings) {",826,828
Mockito,16,Mockito-16-buggy,org.mockito.Mockito,org/mockito/Mockito.java,public static <T> T spy(T object) {,896,900
Mockito,17,Mockito-17-buggy,org.mockito.internal.creation.MockSettingsImpl,org/mockito/internal/creation/MockSettingsImpl.java,public MockSettings serializable() {,21,24
Mockito,17,Mockito-17-buggy,org.mockito.internal.creation.MockSettingsImpl,org/mockito/internal/creation/MockSettingsImpl.java,public boolean isSerializable() {,74,76
Mockito,17,Mockito-17-buggy,org.mockito.internal.util.MockUtil,org/mockito/internal/util/MockUtil.java,"public <T> T createMock(Class<T> classToMock, MockSettingsImpl settings) {",33,56
Mockito,18,Mockito-18-buggy,org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues,org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValues.java,Object returnValueFor(Class<?> type) {,82,120
Mockito,19,Mockito-19-buggy,org.mockito.internal.configuration.injection.filter.FinalMockCandidateFilter,org/mockito/internal/configuration/injection/filter/FinalMockCandidateFilter.java,"public OngoingInjecter filterCandidate(final Collection<Object> mocks, final Field field, final Object fieldInstance) {",23,52
Mockito,19,Mockito-19-buggy,org.mockito.internal.configuration.injection.filter.MockCandidateFilter,org/mockito/internal/configuration/injection/filter/MockCandidateFilter.java,"OngoingInjecter filterCandidate( Collection<Object> mocks, Field fieldToBeInjected, Object fieldInstance );",12,16
Mockito,19,Mockito-19-buggy,org.mockito.internal.configuration.injection.filter.NameBasedCandidateFilter,org/mockito/internal/configuration/injection/filter/NameBasedCandidateFilter.java,"public OngoingInjecter filterCandidate(Collection<Object> mocks, Field field, Object fieldInstance) {",22,44
Mockito,19,Mockito-19-buggy,org.mockito.internal.configuration.injection.filter.TypeBasedCandidateFilter,org/mockito/internal/configuration/injection/filter/TypeBasedCandidateFilter.java,"public OngoingInjecter filterCandidate(Collection<Object> mocks, Field field, Object fieldInstance) {",20,29
